Transaction_ID,Date,Department,Revenue,Expense,Profit,Budget,Transaction_Count,Avg_Transaction_Value,Channel,Currency,Accounting_Basis,Budget_Variance,Budget_Variance_Pct,Profit_Margin_Pct
TXN-00001,2024-08-16,Procurement,322465.15,133876.21,188588.94,119399.02,53,6084.25,Direct,INR,Actual,14477.19,12.13,58.48
TXN-00002,2024-03-02,Legal,165591.39,191178.16,-25586.77,164023.37,65,2547.56,Enterprise,USD,Accrual,27154.79,16.56,-15.45
TXN-00003,2024-01-14,Marketing,309441.82,154855.11,154586.71,138849.88,137,2258.7,Online,USD,Accrual,16005.23,11.53,49.96
TXN-00004,2024-07-17,Human Resources,354248.31,212819.73,141428.58,232428.62,133,2663.52,Enterprise,INR,Accrual,-19608.89,-8.44,39.92
TXN-00005,2024-06-10,Sales,502612.4,356868.77,145743.63,398135.48,86,5844.33,Partner,INR,Actual,-41266.71,-10.36,29.0
TXN-00006,2025-04-11,R&D,496305.38,356850.84,139454.54,396084.84,88,5639.83,Online,INR,Accrual,-39234.0,-9.91,28.1
TXN-00007,2024-11-29,Human Resources,206581.21,227438.54,-20857.33,241209.06,127,1626.62,Direct,INR,Actual,-13770.52,-5.71,-10.1
TXN-00008,2026-12-29,Finance,173443.28,181697.25,-8253.97,169157.3,121,1433.42,Partner,INR,Actual,12539.95,7.41,-4.76
TXN-00009,2025-04-14,Procurement,341513.74,168256.25,173257.49,146358.81,112,3049.23,Online,USD,Accrual,21897.44,14.96,50.73
TXN-00010,2026-03-21,IT,237655.56,138273.64,99381.92,127763.22,111,2141.04,Online,INR,Accrual,10510.42,8.23,41.82
TXN-00011,2026-03-28,Human Resources,165796.23,299458.27,-133662.04,300314.09,51,3250.91,Direct,INR,Actual,-855.82,-0.28,-80.62
TXN-00012,2024-11-23,IT,226647.99,93976.1,132671.89,90638.61,99,2289.37,Online,INR,Actual,3337.49,3.68,58.54
TXN-00013,2024-08-22,IT,365436.54,245193.12,120243.42,264950.69,83,4402.85,Direct,USD,Actual,-19757.57,-7.46,32.9
TXN-00014,2026-07-18,Procurement,386144.78,272687.65,113457.13,253331.38,104,3712.93,Partner,INR,Actual,19356.27,7.64,29.38
