Transaction_ID,Date,Department,Revenue,Expense,Profit,Budget,Transaction_Count,Avg_Transaction_Value,Channel,Currency,Accounting_Basis,Budget_Variance,Budget_Variance_Pct,Profit_Margin_Pct
TXN-00001,2024-01-01,Procurement,208695.081393,441468.352957,-232773.27,170033.153647,63,3312.62034,Partner,INR,Actual,271435.2,159.64,-111.54
TXN-00032,2024-01-02,Finance,181661.101091,112405.601002,69255.5,122486.695892,104,1746.741357,Enterprise,INR,Actual,-10081.09,-8.23,38.12
TXN-00061,2024-01-03,Customer Support,59379.820203,154593.670389,-95213.85,134515.862665,105,1851.470256,Partner,INR,Actual,20077.81,14.93,-160.35
TXN-00091,2024-01-04,Legal,121470.854346,115614.494645,5856.36,107113.742254,127,956.46342,Partner,INR,Accrual,8500.75,7.94,4.82
TXN-00121,2024-01-05,Customer Support,187025.717136,171358.503515,15667.21,137634.730461,38,4921.729398,Online,INR,Accrual,33723.77,24.5,8.38
TXN-00151,2024-01-06,Operations,450326.390502,285496.684968,164829.71,304125.914955,62,7263.328879,Enterprise,INR,Actual,-18629.23,-6.13,36.6
TXN-00181,2024-01-07,Procurement,226368.183694,132012.654209,94355.53,146905.835985,81,2794.668934,Partner,INR,Accrual,-14893.18,-10.14,41.68
TXN-00212,2024-01-08,Marketing,191807.742847,211011.620522,-19203.88,199787.92543,72,2663.996428,Enterprise,INR,Accrual,11223.7,5.62,-10.01
TXN-00242,2024-01-09,Procurement,190420.865249,134421.410385,55999.45,146723.296858,87,2188.745578,Partner,INR,Accrual,-12301.89,-8.38,29.41
TXN-00272,2024-01-10,Logistics,275605.323222,218974.271713,56631.05,215197.644627,62,4445.247149,Online,INR,Accrual,3776.63,1.75,20.55
TXN-00302,2024-01-11,Procurement,238905.9422,150401.146073,88504.8,159414.353358,99,2413.191335,Online,INR,Actual,-9013.21,-5.65,37.05
TXN-00332,2024-01-12,Logistics,295216.785316,219530.895201,75685.89,213640.068061,79,3736.921333,Online,INR,Actual,5890.83,2.76,25.64
TXN-00013,2024-01-13,Customer Support,163881.939506,130479.509909,33402.43,129077.039466,106,1546.056033,Enterprise,INR,Accrual,1402.47,1.09,20.38
TXN-00014,2024-01-14,Operations,513096.90879,314389.105402,198707.8,297173.565348,103,4981.523386,Direct,INR,Actual,17215.54,5.79,38.73
TXN-00015,2024-01-15,Sales,499761.370614,351015.096534,148746.27,314328.738837,82,6094.650861,Partner,INR,Actual,36686.36,11.67,29.76
TXN-00016,2024-01-16,Procurement,201256.093579,207362.628217,-6106.53,168722.405395,66,3049.334751,Online,INR,Actual,38640.22,22.9,-3.03
TXN-00017,2024-01-17,Procurement,257050.220845,156202.82761,100847.39,156559.756493,81,3173.459517,Direct,INR,Accrual,-356.93,-0.23,39.23
TXN-00018,2024-01-18,Marketing,263148.17707,194377.657307,68770.52,207810.99942,101,2605.427496,Enterprise,INR,Accrual,-13433.34,-6.46,26.13
TXN-00019,2024-01-19,Administration,181797.223542,123445.816493,58351.41,129211.419563,72,2524.961438,Online,INR,Actual,-5765.6,-4.46,32.1
TXN-00020,2024-01-20,R&D,358018.653676,282237.97736,75780.68,253135.902461,89,4022.681502,Enterprise,INR,Actual,29102.07,11.5,21.17
TXN-00021,2024-01-21,R&D,449533.551899,271143.208986,178390.34,264768.426256,73,6157.993862,Enterprise,INR,Accrual,6374.78,2.41,39.68
TXN-00022,2024-01-22,Customer Support,170806.779373,121455.982002,49350.8,142194.930802,110,1552.788903,Enterprise,INR,Accrual,-20738.95,-14.58,28.89
TXN-00023,2024-01-23,Procurement,183403.946781,163612.289183,19791.66,158357.280271,86,2132.604032,Direct,INR,Accrual,5255.01,3.32,10.79
TXN-00024,2024-01-24,Operations,435864.8492,315255.225436,120609.62,324361.566801,80,5448.310615,Direct,INR,Accrual,-9106.34,-2.81,27.67
TXN-00025,2024-01-25,IT,328625.778358,201042.220686,127583.56,192873.042062,105,3129.769318,Partner,INR,Actual,8169.18,4.24,38.82
TXN-00026,2024-01-26,Operations,491017.916393,360515.902253,130502.01,324545.034025,59,8322.337566,Partner,INR,Actual,35970.87,11.08,26.58
TXN-00027,2024-01-27,Sales,552518.969405,294913.906224,257605.06,338752.78215,77,7175.571031,Enterprise,INR,Actual,-43838.88,-12.94,46.62
TXN-00028,2024-01-28,Logistics,323350.126973,188980.920946,134369.21,222331.111048,86,3759.885197,Enterprise,INR,Actual,-33350.19,-15.0,41.56
TXN-00029,2024-01-29,Sales,575461.628737,263180.959691,312280.67,346450.20415,106,5428.88329,Direct,INR,Actual,-83269.24,-24.03,54.27
TXN-00030,2024-01-30,Logistics,324086.449266,233951.897397,90134.55,228470.810171,62,5227.200795,Online,INR,Accrual,5481.09,2.4,27.81
TXN-00031,2024-01-31,Administration,160156.774496,127652.435533,32504.34,129488.030759,74,2164.280736,Partner,INR,Accrual,-1835.6,-1.42,20.3
TXN-00002,2024-02-01,Legal,169159.21916,102322.614674,66836.6,103106.913135,103,1642.322516,Direct,INR,Actual,-784.3,-0.76,39.51
TXN-00033,2024-02-02,Sales,588354.522931,319409.604992,268944.92,313645.765657,88,6685.846851,Direct,INR,Actual,5763.84,1.84,45.71
TXN-00062,2024-02-03,Sales,636542.214637,338211.072763,298331.14,342129.33375,143,4451.344158,Online,INR,Actual,-3918.26,-1.15,46.87
TXN-00092,2024-02-04,Customer Support,170719.551042,147399.008332,23320.54,138170.425845,68,2510.581633,Enterprise,INR,Actual,9228.58,6.68,13.66
TXN-00122,2024-02-05,Legal,136899.703992,117786.790992,19112.91,104685.172323,103,1329.12334,Partner,INR,Actual,13101.62,12.52,13.96
TXN-00152,2024-02-06,Sales,555490.919355,410953.750425,144537.17,317727.49055,83,6692.661679,Direct,INR,Accrual,93226.26,29.34,26.02
