transaction_id,date,department,category,description,transaction_type,amount,currency,status
TXN-895363,2023-01-03,Logistics,Logistics,Logistics related to Logistics,Expense,30189.19,EUR,Completed
TXN-711941,2023-01-20,Marketing,Marketing,Marketing related to Marketing,Expense,5110.11,USD,Completed
TXN-757841,2025-01-04,Legal,Logistics,Logistics related to Legal,Expense,8052.39,USD,Completed
TXN-391818,19/03/2025,Logistics,Software,Software related to Logistics,Expense,"$37,895.26",USD,Completed
TXN-214301,2025-05-23,Finance,Consulting Revenue,Consulting Revenue related to Finance,Revenue,82842.51,USD,Completed
TXN-323014,2023-06-27,Customer Support,Salaries,Salaries related to Customer Support,Expense,"$6,362.91",USD,Completed
TXN-724513,2023-09-13,R&D,Cloud Infrastructure,Cloud Infrastructure related to R&D,Expense,"$2,600.78",USD,Completed
TXN-259626,2025-02-10,Logistics,Subscription Revenue,Subscription Revenue related to Logistics,Revenue,40749.27,EUR,Completed
TXN-649255,2025-09-06,Administration,Utilities,Utilities related to Administration,Expense,6318.05,USD,Completed
TXN-111987,2023-05-30,Procurement,Maintenance,Maintenance related to Procurement,Expense,41243.31,USD,Completed
TXN-997504,15/05/2024,Sales,Salaries,Salaries related to Sales,Expense,25461.25,USD,Completed
TXN-495146,2025-10-09,Administration,Training,Training related to Administration,Expense,21563.17,USD,Completed
TXN-460816,2024-11-16,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,82816.76,GBP,Completed
TXN-142060,26/03/2024,Customer Support,Cloud Infrastructure,Cloud Infrastructure related to Customer Support,Expense,34670.86,USD,Completed
TXN-551544,13/06/2023,Customer Support,Marketing,Marketing related to Customer Support,Expense,49873.51,GBP,Completed
TXN-739705,2024-05-12,R&D,Marketing,Marketing related to R&D,Expense,2823.40,USD,Completed
TXN-471541,30/11/2025,IT,Product Sales,Product Sales related to IT,Revenue,16240.22,EUR,Completed
TXN-288362,2024-06-19,Sales,Subscription Revenue,Subscription Revenue related to Sales,Revenue,58216.24,USD,Completed
TXN-994715,2025-04-27,Administration,Consulting Revenue,Consulting Revenue related to Administration,Revenue,41877.23,USD,Completed
TXN-187473,09/06/2024,R&D,Professional Services,Professional Services related to R&D,Expense,"$2,446.06",USD,Completed
TXN-444837,2024-07-09,Administration,Subscription Revenue,Subscription Revenue related to Administration,Revenue,140538.04,USD,Completed
TXN-869006,2024-02-26,Customer Support,Travel,Travel related to Customer Support,Expense,35680.21,GBP,Completed
TXN-267398,2023-08-19,Marketing,Consulting Revenue,Consulting Revenue related to Marketing,Revenue,53679.24,GBP,Completed
TXN-575720,08/08/2025,Administration,Software,Software related to Administration,Expense,219326.32,USD,Completed
TXN-798218,2023-12-01,Administration,Training,Training related to Administration,Expense,28077.54,EUR,Completed
TXN-666684,2025-06-02,IT,Software,Software related to IT,Expense,"$36,744.20",USD,Completed
TXN-816770,2023-09-20,Sales,Other Revenue,Other Revenue related to Sales,Revenue,102493.69,USD,Completed
TXN-128604,2024-08-23,Logistics,Travel,Travel related to Logistics,Expense,12598.77,USD,Completed
TXN-157191,2024-12-04,Customer Support,Service Revenue,Service Revenue related to Customer Support,Revenue,12003.31,USD,Completed
TXN-195426,2025-08-02,Legal,Utilities,Utilities related to Legal,Expense,"$28,062.93",USD,Completed
TXN-961219,2024-09-02,R&D,Cloud Infrastructure,Cloud Infrastructure related to R&D,Expense,38359.07,USD,Completed
TXN-737236,2024-12-13,Administration,Service Revenue,Service Revenue related to Administration,Revenue,91015.01,EUR,Completed
TXN-187458,2025-11-18,Legal,Professional Services,Professional Services related to Legal,Expense,34941.44,USD,Completed
TXN-253468,2024-07-15,Legal,Product Sales,Product Sales related to Legal,Revenue,134983.91,USD,Completed
TXN-176619,2025-12-29,Customer Support,Professional Services,Professional Services related to Customer Support,Expense,35984.37,USD,Completed
TXN-707868,2025-11-01,HR,Marketing,Marketing related to HR,Expense,33799.75,USD,Completed
TXN-536760,2025-12-30,Finance,Service Revenue,Service Revenue related to Finance,Revenue,144355.02,USD,Completed
TXN-154186,2023-02-11,Customer Support,Travel,Travel related to Customer Support,Expense,"$8,341.13",USD,Completed
TXN-822597,08/10/2024,Logistics,Product Sales,Product Sales related to Logistics,Revenue,33237.38,USD,Completed
TXN-840603,2024-12-28,HR,Service Revenue,Service Revenue related to HR,Revenue,"$107,448.01",USD,Completed
TXN-356379,2025-02-24,IT,Office,Office related to IT,Expense,"$18,255.53",USD,Completed
TXN-466577,2025-12-29,Legal,Marketing,Marketing related to Legal,Expense,29678.48,EUR,Completed
TXN-683061,2023-04-04,R&D,Maintenance,Maintenance related to R&D,Expense,31060.48,GBP,Completed
TXN-962671,2024-02-09,R&D,Software,Software related to R&D,Expense,46573.07,GBP,Completed
TXN-655812,2024-04-20,Customer Support,Other Revenue,Other Revenue related to Customer Support,Revenue,35064.06,USD,Completed
TXN-624383,2023-11-21,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,42033.32,USD,Completed
TXN-980703,2025-05-22,Customer Support,Marketing,Marketing related to Customer Support,Expense,26999.71,USD,Completed
TXN-564278,2023-08-16,Logistics,Maintenance,Maintenance related to Logistics,Expense,25044.18,USD,Completed
TXN-488566,2024-06-20,Logistics,Utilities,Utilities related to Logistics,Expense,21604.11,USD,Completed
TXN-506374,2024-03-20,Procurement,Office,Office related to Procurement,Expense,29600.57,USD,Completed
TXN-968456,2024-08-29,Administration,Maintenance,Maintenance related to Administration,Expense,30860.40,EUR,Completed
TXN-384790,2024-08-11,Sales,Office,Office related to Sales,Expense,9436.00,USD,Completed
TXN-724776,2025-02-09,IT,Office,Office related to IT,Expense,43664.48,USD,Completed
TXN-876306,14/08/2025,Procurement,Salaries,Salaries related to Procurement,Expense,3510.76,USD,Completed
TXN-930206,2024-12-11,Operations,Service Revenue,Service Revenue related to Operations,Revenue,149904.48,USD,Completed
TXN-316127,2024-06-16,Marketing,Service Revenue,Service Revenue related to Marketing,Revenue,24741.67,USD,Completed
TXN-252073,2023-01-12,IT,Salaries,Salaries related to IT,Expense,"$31,938.68",USD,Completed
TXN-369492,2023-03-05,Procurement,Product Sales,Product Sales related to Procurement,Revenue,5665.31,USD,Completed
TXN-416343,12/03/2023,Logistics,Subscription Revenue,Subscription Revenue related to Logistics,Revenue,42671.55,USD,Completed
TXN-655994,21/04/2023,Marketing,Cloud Infrastructure,Cloud Infrastructure related to Marketing,Expense,29469.96,USD,Completed
TXN-100500,2023-03-18,Operations,Training,Training related to Operations,Expense,11587.26,USD,Completed
TXN-171610,22/01/2023,Operations,Subscription Revenue,Subscription Revenue related to Operations,Revenue,56915.91,USD,Completed
TXN-988643,2025-01-08,Marketing,Training,Training related to Marketing,Expense,44361.66,EUR,Completed
TXN-981385,2023-12-06,Marketing,Procurement,Procurement related to Marketing,Expense,15292.70,USD,Completed
TXN-207817,2025-01-01,Administration,Cloud Infrastructure,Cloud Infrastructure related to Administration,Expense,17925.10,USD,Completed
TXN-323880,15/07/2023,Administration,Service Revenue,Service Revenue related to Administration,Revenue,148733.97,GBP,Completed
